City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Bonthe,SL,7.5264,-12.505,76.62,87,100,10.47,light rain
143,Cayenne,GF,4.9333,-52.3333,82.44,74,91,3.44,overcast clouds
144,Mandera,KE,3.9366,41.867,77.58,55,88,21.63,overcast clouds
145,Te Anau,NZ,-45.4167,167.7167,37.44,94,85,0.96,overcast clouds
146,Barrow,US,71.2906,-156.7887,48.22,66,0,8.05,clear sky
147,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,14.97,broken clouds
148,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.63,71,1,9.75,clear sky
149,Mayumba,GA,-3.432,10.6554,74.01,88,100,9.35,overcast clouds
150,Gravdal,NO,68.1214,13.5031,48.92,73,78,8.59,broken clouds
151,Mahibadhoo,MV,3.7833,72.9667,80.35,83,100,13.96,overcast clouds
152,Manuk Mangkaw,PH,4.8,119.85,82.17,72,99,0.89,overcast clouds
153,Ous,RU,60.9058,61.5186,40.98,94,95,3.74,overcast clouds
154,Borogontsy,RU,62.6683,131.1683,43.32,80,100,13.51,overcast clouds
155,Grants,US,35.1473,-107.8514,88.03,12,0,6.91,clear sky
156,Houma,US,29.5958,-90.7195,87.01,80,27,4.0,scattered clouds
157,Gabu,GW,12.2833,-14.2167,76.1,95,84,3.8,light rain
158,Lianran,CN,24.9227,102.485,55.94,90,33,3.15,scattered clouds
159,Krymsk,RU,44.9293,37.9912,48.67,70,0,2.51,clear sky
160,Klyuchi,RU,52.2667,79.1667,50.9,59,83,8.84,broken clouds
161,Nchelenge,ZM,-9.3451,28.734,75.15,33,0,9.53,clear sky
162,Bagdarin,RU,54.4333,113.6,36.21,86,62,1.81,broken clouds
163,Adre,TD,13.4667,22.2,73.94,72,100,3.78,overcast clouds
164,Bengkulu,ID,-3.8004,102.2655,73.4,89,100,2.93,overcast clouds
165,Zalalovo,HU,46.848,16.5875,66.97,84,82,4.07,broken clouds
166,Upernavik,GL,72.7868,-56.1549,37.83,81,98,5.08,overcast clouds
167,Mersing,MY,2.4312,103.8405,75.11,94,40,2.3,scattered clouds
168,Katsuura,JP,35.1333,140.3,78.51,85,47,14.27,scattered clouds
169,Cabildo,AR,-38.4842,-61.8954,59.0,44,79,13.94,broken clouds
170,Esperance,AU,-33.8667,121.9,54.34,66,40,14.32,scattered clouds
171,Santa Lucia,ES,27.9117,-15.5407,67.32,73,75,24.16,broken clouds
172,Pokaran,IN,26.9167,71.9167,90.37,39,1,6.64,clear sky
173,Port Lincoln,AU,-34.7333,135.8667,52.56,91,78,16.69,broken clouds
174,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,8.05,few clouds
175,Chuy,UY,-33.6971,-53.4616,58.15,93,11,6.17,few clouds
176,Mount Isa,AU,-20.7333,139.5,71.37,64,75,3.44,broken clouds
177,Dingle,PH,10.9995,122.6711,75.85,93,61,4.56,broken clouds
178,Witbank,ZA,-25.8713,29.2332,53.53,70,0,11.39,clear sky
179,Daitari,IN,21.1,85.75,75.06,91,95,3.36,overcast clouds
180,Qaanaaq,GL,77.484,-69.3632,33.49,83,80,1.39,broken clouds
181,Samarai,PG,-10.6167,150.6667,80.58,80,22,9.13,few clouds
182,Nanortalik,GL,60.1432,-45.2371,43.93,92,26,4.09,scattered clouds
183,Nokaneng,BW,-19.6667,22.2667,69.93,32,0,9.44,clear sky
184,Russell,US,32.3502,-85.1999,87.4,62,0,3.44,clear sky
185,Isangel,VU,-19.55,169.2667,82.51,78,40,4.61,scattered clouds
186,Port Hedland,AU,-20.3167,118.5667,57.25,82,5,5.75,clear sky
187,Fukue,JP,32.6881,128.8419,76.48,68,92,22.03,overcast clouds
188,Vostok,RU,46.4856,135.8833,51.6,87,10,6.78,clear sky
189,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,88,0,9.22,clear sky
190,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,3.44,broken clouds
191,Cockburn Town,TC,21.4612,-71.1419,83.46,73,6,11.68,clear sky
192,Clarence Town,AU,-32.5833,151.7833,61.95,80,88,3.91,overcast clouds
193,Hailar,CN,49.2,119.7,52.3,86,40,8.3,scattered clouds
194,Livingston,GB,55.9029,-3.5226,58.59,97,20,6.91,few clouds
195,Faya,SA,18.3851,42.4509,71.71,30,64,7.25,broken clouds
196,Camacha,PT,33.0833,-16.3333,69.22,83,20,8.05,few clouds
197,Nizhniy Tsasuchey,RU,50.5167,115.1333,51.01,75,60,6.44,broken clouds
198,Kodiak,US,57.79,-152.4072,54.91,82,100,13.8,light rain
199,Uncia,BO,-18.467,-66.5685,57.07,5,0,10.27,clear sky
200,Sorland,NO,67.667,12.6934,49.86,71,51,10.04,broken clouds
201,Tezu,IN,27.9167,96.1667,77.09,72,99,3.02,overcast clouds
202,Sitka,US,57.0531,-135.33,62.49,63,75,10.36,broken clouds
203,Koulikoro,ML,14.0,-7.75,74.75,66,97,7.29,overcast clouds
204,Kasempa,ZM,-13.4584,25.8338,64.53,34,0,6.49,clear sky
205,Tapes,BR,-30.6733,-51.3958,65.66,78,96,4.23,overcast clouds
206,Marsaxlokk,MT,35.8419,14.5431,81.09,83,20,3.44,few clouds
207,Nisia Floresta,BR,-6.0911,-35.2086,77.38,76,0,14.97,clear sky
208,Taoudenni,ML,22.6783,-3.9836,99.46,13,15,9.42,few clouds
209,Szczytno,PL,53.5626,20.9875,48.13,71,0,4.61,clear sky
210,Sur,OM,22.5667,59.5289,79.48,70,0,11.74,clear sky
211,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,2.37,light rain
212,Banda Aceh,ID,5.5577,95.3222,78.94,78,100,13.02,overcast clouds
213,Kirakira,SB,-10.4544,161.9205,81.32,80,81,9.93,broken clouds
214,Arraial Do Cabo,BR,-22.9661,-42.0278,68.92,75,52,28.83,broken clouds
215,Shaki,AZ,41.0833,47.1667,60.49,95,72,3.33,light rain
216,Cherskiy,RU,68.75,161.3,54.39,42,60,13.96,broken clouds
217,Vao,NC,-22.6667,167.4833,69.26,71,14,14.58,few clouds
218,Mishelevka,RU,52.8575,103.1719,52.29,86,79,5.77,broken clouds
219,Conde,BR,-7.2597,-34.9075,72.86,78,0,9.22,clear sky
220,Lavra,PT,41.2594,-8.7185,70.12,89,20,6.91,few clouds
